N_packets,N_IM_packets,N_IM_missing,N_HK_missing,folder_path,filename
24433,16621,0,0,test_x-band/1st_-20°C,F20250109140956_header.txt
24424,16621,0,0,test_x-band/1st_-20°C,F20250109141114_header.txt
24229,16621,0,0,test_x-band/1st_-20°C,F20250109141230_header.txt
24439,16621,0,0,test_x-band/1st_-20°C,F20250109141336_header.txt
23594,16621,0,0,test_x-band/1st_-20°C,F20250109141442_header.txt
24107,16621,0,0,test_x-band/1st_-20°C,F20250109141537_header.txt
24410,16621,0,0,test_x-band/1st_-20°C,F20250109141731_header.txt
24353,16621,0,0,test_x-band/1st_-20°C,F20250109141821_header.txt
23915,16621,0,446,test_x-band/1st_10°C,F20250109124843_header.txt
14682,9794,6827,0,test_x-band/1st_10°C,F20250109125426_header.txt
24030,16621,0,0,test_x-band/1st_10°C,F20250109125804_header.txt
22950,16574,47,1123,test_x-band/1st_10°C,F20250109130351_header.txt
24405,16621,0,0,test_x-band/2nd_-20°C,F20250109170335_header.txt
24251,16621,0,0,test_x-band/2nd_-20°C,F20250109170437_header.txt
24248,16621,0,0,test_x-band/2nd_-20°C,F20250109170548_header.txt
24435,16621,0,0,test_x-band/2nd_-20°C,F20250109171041_header.txt
24421,16621,0,0,test_x-band/2nd_-20°C,F20250109171159_header.txt
23217,16621,0,0,test_x-band/2nd_-20°C,F20250109171302_header.txt
24435,16621,0,0,test_x-band/2nd_-20°C,F20250109172121_header.txt
47075,33242,0,186,test_x-band/2nd_10°C,F20250109154843_header.txt
24274,16621,0,102,test_x-band/2nd_10°C,F20250109155039_header.txt
23995,16621,0,420,test_x-band/2nd_10°C,F20250109155129_header.txt
23233,16621,0,1032,test_x-band/2nd_10°C,F20250109155217_header.txt
24347,16621,0,109,test_x-band/2nd_10°C,F20250109155305_header.txt
23767,16621,0,690,test_x-band/2nd_10°C,F20250109155352_header.txt
24443,16621,0,0,test_x-band/2nd_10°C,F20250109155439_header.txt
23995,16621,0,156,test_x-band/2nd_10°C,F20250109155526_header.txt
24412,16621,0,0,test_x-band/2nd_10°C,F20250109155612_header.txt
24442,16621,0,0,test_x-band/3rd_-20°C,F20250109201821_header.txt
24361,16621,0,0,test_x-band/3rd_-20°C,F20250109201930_header.txt
24398,16621,0,0,test_x-band/3rd_-20°C,F20250109202011_header.txt
24438,16621,0,0,test_x-band/3rd_-20°C,F20250109202052_header.txt
24393,16621,0,0,test_x-band/3rd_-20°C,F20250109202139_header.txt
8303,3416,13205,0,test_x-band/3rd_-20°C,F20250109202544_header.txt
24423,16621,0,0,test_x-band/3rd_-20°C,F20250109202612_header.txt
24191,16621,0,264,test_x-band/3rd_-20°C,F20250109202717_header.txt
24390,16621,0,0,test_x-band/3rd_-20°C,F20250109202805_header.txt
24426,16621,0,0,test_x-band/3rd_10°C,F20250109190648_header.txt
24428,16621,0,0,test_x-band/3rd_10°C,F20250109190753_header.txt
24405,16621,0,0,test_x-band/3rd_10°C,F20250109190835_header.txt
24354,16621,0,0,test_x-band/3rd_10°C,F20250109190950_header.txt
24388,16621,0,0,test_x-band/3rd_10°C,F20250109191041_header.txt
24432,16621,0,0,test_x-band/3rd_10°C,F20250109191128_header.txt
24395,16621,0,0,test_x-band/3rd_10°C,F20250109191211_header.txt
24428,16621,0,0,test_x-band/3rd_10°C,F20250109191255_header.txt
24107,16621,0,0,test_x-band/3rd_10°C,F20250109191344_header.txt
24370,16621,0,0,test_x-band/4th_10°C,F20250109215957_header.txt
24419,16621,0,0,test_x-band/4th_10°C,F20250109220100_header.txt
24347,16621,0,0,test_x-band/4th_10°C,F20250109220155_header.txt
24408,16621,0,0,test_x-band/4th_10°C,F20250109220254_header.txt
24378,16621,0,0,test_x-band/4th_10°C,F20250109220339_header.txt
24361,16621,0,0,test_x-band/4th_10°C,F20250109220437_header.txt
24326,16621,0,0,test_x-band/4th_10°C,F20250109220530_header.txt
24398,16621,0,0,test_x-band/4th_10°C,F20250109220625_header.txt
24347,16621,0,0,test_x-band/4th_10°C,F20250109220722_header.txt
24368,16621,0,0,test_x-band/4th_10°C,F20250109220811_header.txt
24433,16621,0,0,test_x-band/Before_TVT,F20241213154608_header.txt
24424,16621,0,0,test_x-band/Before_TVT,F20241213154807_header.txt
24439,16621,0,0,test_x-band/Before_TVT,F20241213160439_header.txt
24400,16621,0,0,test_x-band/Before_TVT,F20241213165909_header.txt
24430,16621,0,0,test_x-band/Before_TVT,F20241213170957_header.txt
24438,16621,0,0,test_x-band/Before_TVT,F20241218185425_header.txt
24390,16621,0,0,test_x-band/Before_TVT,F20241219182446_header.txt
24311,16621,0,0,test_x-band/Before_TVT,F20250107093559_header.txt
175,134,16486,747,test_x-band/Before_TVT,F20250107194450_header.txt
3612,897,15724,4974,test_x-band/Before_TVT,F20250107202558_header.txt
24222,16526,96,0,test_x-band/Before_TVT,F20250107204737_header.txt
24366,16621,0,0,test_x-band/Before_TVT,F20250107211710_header.txt
24409,16621,0,0,test_x-band/Before_TVT,F20250107215432_header.txt
26896,16621,0,0,test_x-band/Before_TVT,F20250108110945_header.txt
24162,16621,0,0,test_x-band/Before_TVT,F20250109105154_header.txt
24442,16621,0,0,test_x-band,F20250120101240_header.txt
24442,16621,0,0,test_x-band,F20250120133432_header.txt
24352,16621,0,0,test_x-band,F20250120154141_header.txt
24428,16621,0,0,test_x-band,F20250127162146_header.txt
