Filename,Type,Start_Packet_number,End_Packet_number,Incompleteness(100*missing/16621)
F20250109155526.bin,HK,7023,7179,1.9625
F20250109155612.bin,OK,0,0,0
F20250109155612.bin,OK,0,0,0
opt_frame_0000_F20250109155612.bin,OK,0,0,0
F20250109155612.bin,OK,0,0,0
F20250109155612.bin,OK,0,0,0
F20250109155612.bin,OK,0,0,0
F20250109124843.bin,HK,497,497,5.6875
F20250109124843.bin,HK,506,514,5.6875
F20250109124843.bin,HK,523,553,5.6875
F20250109124843.bin,HK,1535,1535,5.6875
F20250109124843.bin,HK,1829,1829,5.6875
F20250109124843.bin,HK,2262,2298,5.6875
F20250109124843.bin,HK,5395,5671,5.6875
F20250109124843.bin,HK,6615,6711,5.6875
F20250109124843.bin,HK,8086,8086,5.6875
F20250120132129.bin,Error,65535,65535,100
F20250109124843.bin,HK,497,497,5.6875
F20250109124843.bin,HK,506,514,5.6875
F20250109124843.bin,HK,523,553,5.6875
F20250109124843.bin,HK,1535,1535,5.6875
F20250109124843.bin,HK,1829,1829,5.6875
F20250109124843.bin,HK,2262,2298,5.6875
F20250109124843.bin,HK,5395,5671,5.6875
F20250109124843.bin,HK,6615,6711,5.6875
F20250109124843.bin,HK,8086,8086,5.6875
F20250120132129.bin,Error,65535,65535,100
F20250109155612.bin,OK,0,0,0
F20250109124843.bin,OK,0,0,0
